,Gas,Pressure_atm,gap_mm,breakdown_kV
0,Ar,0.1,0.1,0.18
1,Ar,0.1,0.1,0.22
2,Ar,0.1,0.1,0.18
3,Ar,0.1,0.1,0.18
4,Ar,0.1,0.1,0.2
5,Ar,0.1,0.1,0.2
6,Ar,0.1,0.1,0.22
7,Ar,0.1,0.1,0.22
8,Ar,0.1,0.1,0.22
9,Ar,0.2,0.1,0.2
10,Ar,0.2,0.1,0.2
11,Ar,0.2,0.1,0.2
12,Ar,0.2,0.1,0.2
13,Ar,0.2,0.1,0.2
14,Ar,0.2,0.1,0.2
15,Ar,0.2,0.1,0.225
16,Ar,0.2,0.1,0.23
17,Ar,0.2,0.1,0.225
18,Ar,0.3,0.1,0.2
19,Ar,0.3,0.1,0.21
20,Ar,0.3,0.1,0.22
21,Ar,0.3,0.1,0.23
22,Ar,0.3,0.1,0.24
23,Ar,0.3,0.1,0.2
24,Ar,0.3,0.1,0.25
25,Ar,0.3,0.1,0.25
26,Ar,0.3,0.1,0.25
27,Ar,0.4,0.1,0.25
28,Ar,0.4,0.1,0.25
29,Ar,0.4,0.1,0.24
30,Ar,0.4,0.1,0.25
31,Ar,0.4,0.1,0.25
32,Ar,0.4,0.1,0.26
33,Ar,0.4,0.1,0.25
34,Ar,0.4,0.1,0.25
35,Ar,0.4,0.1,0.26
36,Ar,0.5,0.1,0.28
37,Ar,0.5,0.1,0.28
38,Ar,0.5,0.1,0.27
39,Ar,0.5,0.1,0.32
40,Ar,0.5,0.1,0.28
41,Ar,0.5,0.1,0.25
42,Ar,0.5,0.1,0.3
43,Ar,0.5,0.1,0.3
44,Ar,0.5,0.1,0.29
45,Ar,0.6,0.1,0.27
46,Ar,0.6,0.1,0.3
47,Ar,0.6,0.1,0.28
48,Ar,0.6,0.1,0.3
49,Ar,0.6,0.1,0.32
50,Ar,0.6,0.1,0.3
51,Ar,0.6,0.1,0.32
52,Ar,0.6,0.1,0.32
53,Ar,0.6,0.1,0.3
54,Ar,0.7,0.1,0.35
55,Ar,0.7,0.1,0.35
56,Ar,0.7,0.1,0.34
57,Ar,0.7,0.1,0.35
58,Ar,0.7,0.1,0.36
59,Ar,0.7,0.1,0.36
60,Ar,0.7,0.1,0.35
61,Ar,0.7,0.1,0.35
62,Ar,0.7,0.1,0.35
63,Ar,0.8,0.1,0.35
64,Ar,0.8,0.1,0.33
65,Ar,0.8,0.1,0.33
66,Ar,0.8,0.1,0.33
67,Ar,0.8,0.1,0.35
68,Ar,0.8,0.1,0.34
69,Ar,0.8,0.1,0.35
70,Ar,0.8,0.1,0.37
71,Ar,0.8,0.1,0.38
72,Ar,0.9,0.1,0.38
73,Ar,0.9,0.1,0.38
74,Ar,0.9,0.1,0.4
75,Ar,0.9,0.1,0.38
76,Ar,0.9,0.1,0.38
77,Ar,0.9,0.1,0.39
78,Ar,0.9,0.1,0.38
79,Ar,0.9,0.1,0.39
80,Ar,0.9,0.1,0.38
81,Ar,1.0,0.1,0.4
82,Ar,1.0,0.1,0.4
83,Ar,1.0,0.1,0.41
84,Ar,1.0,0.1,0.38
85,Ar,1.0,0.1,0.41
86,Ar,1.0,0.1,0.4
87,Ar,1.0,0.1,0.4
88,Ar,1.0,0.1,0.41
89,Ar,1.0,0.1,0.4
90,Ar,2,0.1,0.5
91,Ar,2,0.1,0.6
92,Ar,2,0.1,0.6
93,Ar,3,0.1,0.7
94,Ar,3,0.1,0.7
95,Ar,3,0.1,0.7
96,Ar,4,0.1,0.7
97,Ar,4,0.1,0.7
98,Ar,4,0.1,0.7
99,Ar,5,0.1,0.8
100,Ar,5,0.1,0.8
101,Ar,5,0.1,0.8
102,Ar,6,0.1,0.9
103,Ar,6,0.1,0.9
104,Ar,6,0.1,0.9
105,Ar,7,0.1,1
106,Ar,7,0.1,1
107,Ar,7,0.1,1
108,Ar,8,0.1,1.1
109,Ar,8,0.1,1.2
110,Ar,8,0.1,1.1
111,Ar,9,0.1,1.2
112,Ar,9,0.1,1.2
113,Ar,9,0.1,1.2
114,Ar,10,0.1,1.3
115,Ar,10,0.1,1.3
116,Ar,10,0.1,1.3
117,Ar,11,0.1,1.3
118,Ar,11,0.1,1.4
119,Ar,11,0.1,1.4
120,Ar,2,10.0,11.5
121,Ar,2,10.0,11.3
122,Ar,2,10.0,11.3
123,Ar,3,10.0,15.5
124,Ar,3,10.0,15.7
125,Ar,3,10.0,15.7
126,Ar,4,10.0,19.5
127,Ar,4,10.0,19.6
128,Ar,4,10.0,19.6
129,Ar,5,10.0,23.5
130,Ar,5,10.0,23.5
131,Ar,5,10.0,23.5
132,Ar,6,10.0,26.8
133,Ar,6,10.0,26.7
134,Ar,6,10.0,26.8
135,Ar,7,10.0,30.3
136,Ar,7,10.0,30.3
137,Ar,7,10.0,30.3
138,Ar,8,10.0,33.6
139,Ar,8,10.0,33.6
140,Ar,8,10.0,33.6
141,Ar,9,10.0,36.6
142,Ar,9,10.0,36.5
143,Ar,9,10.0,36.5
144,Ar,10,10.0,39.1
145,Ar,10,10.0,39.1
146,Ar,10,10.0,39.1
147,Ar,11,10.0,42
148,Ar,11,10.0,41.9
149,Ar,11,10.0,41.9
150,Ar,0.12,1.0,0.4
151,Ar,0.12,1.0,0.4
152,Ar,0.12,1.0,0.3
153,Ar,0.2,1.0,0.5
154,Ar,0.2,1.0,0.3
155,Ar,0.2,1.0,0.5
156,Ar,0.3,1.0,0.6
157,Ar,0.3,1.0,0.5
158,Ar,0.3,1.0,0.6
159,Ar,0.4,1.0,0.8
160,Ar,0.4,1.0,0.7
161,Ar,0.4,1.0,0.7
162,Ar,0.5,1.0,0.8
163,Ar,0.5,1.0,0.8
164,Ar,0.5,1.0,0.9
165,Ar,0.6,1.0,0.9
166,Ar,0.6,1.0,0.9
167,Ar,0.6,1.0,0.9
168,Ar,0.71,1.0,1
169,Ar,0.71,1.0,1
170,Ar,0.71,1.0,0.9
171,Ar,0.84,1.0,1.1
172,Ar,0.84,1.0,1.1
173,Ar,0.84,1.0,1.1
174,Ar,0.9,1.0,1.1
175,Ar,0.9,1.0,1.1
176,Ar,0.9,1.0,1.1
177,Ar,1.0,1.0,1.2
178,Ar,1.0,1.0,1.2
179,Ar,1.0,1.0,1.2
180,Ar,2,1.0,1.9
181,Ar,2,1.0,1.9
182,Ar,2,1.0,1.9
183,Ar,3,1.0,2.6
184,Ar,3,1.0,2.5
185,Ar,3,1.0,2.5
186,Ar,4,1.0,3.1
187,Ar,4,1.0,3.1
188,Ar,4,1.0,3.1
189,Ar,5,1.0,3.6
190,Ar,5,1.0,3.6
191,Ar,5,1.0,3.6
192,Ar,6,1.0,4.2
193,Ar,6,1.0,4.1
194,Ar,6,1.0,4.1
195,Ar,7,1.0,4.6
196,Ar,7,1.0,4.6
197,Ar,7,1.0,4.6
198,Ar,8,1.0,5.1
199,Ar,8,1.0,5.1
200,Ar,8,1.0,5.1
201,Ar,9,1.0,5.6
202,Ar,9,1.0,5.5
203,Ar,9,1.0,5.6
204,Ar,10,1.0,6
205,Ar,10,1.0,6
206,Ar,10,1.0,6
207,Ar,11,1.0,6.5
208,Ar,11,1.0,6.4
209,Ar,11,1.0,6.4
210,Ar,2,1.0,2.6
211,Ar,2,1.0,2.7
212,Ar,2,1.0,2.6
213,Ar,3,1.0,3.5
214,Ar,3,1.0,3.4
215,Ar,3,1.0,3.5
216,Ar,4,1.0,4
217,Ar,4,1.0,4
218,Ar,4,1.0,4
219,Ar,5,1.0,4.6
220,Ar,5,1.0,4.6
221,Ar,5,1.0,4.5
222,Ar,6,1.0,5
223,Ar,6,1.0,5
224,Ar,6,1.0,5.1
225,Ar,7,1.0,5.5
226,Ar,7,1.0,5.5
227,Ar,7,1.0,5.5
228,Ar,8,1.0,6
229,Ar,8,1.0,5.9
230,Ar,8,1.0,6
231,Ar,9,1.0,6.4
232,Ar,9,1.0,6.4
233,Ar,9,1.0,6.4
234,Ar,10,1.0,6.9
235,Ar,10,1.0,6.9
236,Ar,10,1.0,6.9
237,Ar,11,1.0,7.3
238,Ar,11,1.0,7.2
239,Ar,11,1.0,7.3
240,Ar,2,1.0,1.9
241,Ar,2,1.0,1.9
242,Ar,2,1.0,1.9
243,Ar,3,1.0,2.4
244,Ar,3,1.0,2.4
245,Ar,3,1.0,2.4
246,Ar,4,1.0,3.2
247,Ar,4,1.0,3.0
248,Ar,4,1.0,3.0
249,Ar,5,1.0,3.4
250,Ar,5,1.0,3.5
251,Ar,5,1.0,3.4
252,Ar,6,1.0,3.8
253,Ar,6,1.0,3.3
254,Ar,6,1.0,3.8
255,Ar,7,1.0,4.1
256,Ar,7,1.0,4.1
257,Ar,7,1.0,4.2
258,Ar,8,1.0,4.4
259,Ar,8,1.0,4.4
260,Ar,8,1.0,4.4
261,Ar,9,1.0,4.7
262,Ar,9,1.0,4.7
263,Ar,9,1.0,4.8
264,Ar,10,1.0,5.1
265,Ar,10,1.0,5.1
266,Ar,10,1.0,5.2
267,Ar,11,1.0,5.4
268,Ar,11,1.0,5.5
269,Ar,11,1.0,5.4
270,Ar,2,5.0,8.2
271,Ar,2,5.0,8.2
272,Ar,2,5.0,8.3
273,Ar,3,5.0,10.6
274,Ar,3,5.0,10.5
275,Ar,3,5.0,10.5
276,Ar,4,5.0,13.1
277,Ar,4,5.0,13.1
278,Ar,4,5.0,12.8
279,Ar,5,5.0,15.4
280,Ar,5,5.0,15.2
281,Ar,5,5.0,15
282,Ar,6,5.0,17
283,Ar,6,5.0,16.8
284,Ar,6,5.0,16.8
285,Ar,7,5.0,19
286,Ar,7,5.0,18.8
287,Ar,7,5.0,18.8
288,Ar,8,5.0,20.2
289,Ar,8,5.0,20.4
290,Ar,8,5.0,20.2
291,Ar,9,5.0,22.5
292,Ar,9,5.0,22.1
293,Ar,9,5.0,22.2
294,Ar,10,5.0,23.8
295,Ar,10,5.0,23.8
296,Ar,10,5.0,23.8
297,Ar,11,5.0,25.3
298,Ar,11,5.0,25.6
299,Ar,11,5.0,25.3
300,Ar,2,5.0,6.9
301,Ar,2,5.0,6.9
302,Ar,2,5.0,6.9
303,Ar,3,5.0,9.6
304,Ar,3,5.0,9.6
305,Ar,3,5.0,9.5
306,Ar,4,5.0,12.1
307,Ar,4,5.0,12
308,Ar,4,5.0,12
309,Ar,5,5.0,13.8
310,Ar,5,5.0,13.9
311,Ar,5,5.0,13.9
312,Ar,6,5.0,16.4
313,Ar,6,5.0,16.1
314,Ar,6,5.0,16
315,Ar,7,5.0,18.2
316,Ar,7,5.0,18.1
317,Ar,7,5.0,18
318,Ar,8,5.0,20
319,Ar,8,5.0,20
320,Ar,8,5.0,19.8
321,Ar,9,5.0,21.8
322,Ar,9,5.0,21.4
323,Ar,9,5.0,21.5
324,Ar,10,5.0,23.6
325,Ar,10,5.0,23.5
326,Ar,10,5.0,23.5
327,Ar,11,5.0,25.2
328,Ar,11,5.0,24.8
329,Ar,11,5.0,24.6
330,ArCF4,0.1,10.0,1.8
331,ArCF4,0.1,10.0,1.8
332,ArCF4,0.1,10.0,1.8
333,ArCF4,0.2,10.0,2.9
334,ArCF4,0.2,10.0,2.9
335,ArCF4,0.2,10.0,3.1
336,ArCF4,0.3,10.0,4.3
337,ArCF4,0.3,10.0,3.7
338,ArCF4,0.3,10.0,3.9
339,ArCF4,0.4,10.0,5.1
340,ArCF4,0.4,10.0,4.8
341,ArCF4,0.4,10.0,4.9
342,ArCF4,0.5,10.0,5.9
343,ArCF4,0.5,10.0,5.9
344,ArCF4,0.5,10.0,5.9
345,ArCF4,0.6,10.0,6.5
346,ArCF4,0.6,10.0,7.0
347,ArCF4,0.6,10.0,6.8
348,ArCF4,0.7,10.0,8.1
349,ArCF4,0.7,10.0,7.6
350,ArCF4,0.7,10.0,8.0
351,ArCF4,0.8,10.0,8.5
352,ArCF4,0.8,10.0,9.4
353,ArCF4,0.8,10.0,9.0
354,ArCF4,0.8,10.0,9.1
355,ArCF4,0.9,10.0,9.3
356,ArCF4,0.9,10.0,9.3
357,ArCF4,0.9,10.0,9.3
358,ArCF4,1.0,10.0,10.1
359,ArCF4,1.0,10.0,10.2
360,ArCF4,1.0,10.0,10.1
361,ArCF4,2,10.0,16.8
362,ArCF4,2,10.0,17.2
363,ArCF4,2,10.0,17.2
364,ArCF4,3,10.0,24.2
365,ArCF4,3,10.0,24.2
366,ArCF4,3,10.0,24.1
367,ArCF4,4,10.0,32.4
368,ArCF4,4,10.0,32.2
369,ArCF4,4,10.0,32.2
370,ArCF4,5,10.0,39.6
371,ArCF4,5,10.0,39.9
372,ArCF4,5,10.0,40.1
373,ArCF4,6,10.0,46.7
374,ArCF4,6,10.0,47.3
375,ArCF4,6,10.0,47.1
376,ArCF4,0.1,1.0,0.6
377,ArCF4,0.1,1.0,0.6
378,ArCF4,0.1,1.0,0.5
379,ArCF4,0.2,1.0,0.9
380,ArCF4,0.2,1.0,0.8
381,ArCF4,0.2,1.0,0.9
382,ArCF4,0.33,1.0,1.4
383,ArCF4,0.33,1.0,1.0
384,ArCF4,0.33,1.0,1.9
385,ArCF4,0.33,1.0,1.0
386,ArCF4,0.4,1.0,1.5
387,ArCF4,0.4,1.0,1.6
388,ArCF4,0.4,1.0,1.4
389,ArCF4,0.5,1.0,1.7
390,ArCF4,0.5,1.0,1.3
391,ArCF4,0.5,1.0,1.4
392,ArCF4,0.62,1.0,1.3
393,ArCF4,0.62,1.0,1.6
394,ArCF4,0.62,1.0,1.3
395,ArCF4,0.7,1.0,2.0
396,ArCF4,0.7,1.0,1.8
397,ArCF4,0.7,1.0,1.6
398,ArCF4,0.7,1.0,1.4
399,ArCF4,0.8,1.0,1.9
400,ArCF4,0.8,1.0,1.4
401,ArCF4,0.8,1.0,1.6
402,ArCF4,0.9,1.0,1.8
403,ArCF4,0.9,1.0,1.6
404,ArCF4,0.9,1.0,1.6
405,ArCF4,1.0,1.0,2.0
406,ArCF4,1.0,1.0,2.2
407,ArCF4,1.0,1.0,2.1
408,ArCF4,2,1.0,3.0
409,ArCF4,2,1.0,3.0
410,ArCF4,2,1.0,3.2
